,Postcode district,Post town,Coverage,Local authority area
0,LD1,LLANDRINDOD WELLS,"Llandrindod Wells, Crossgates, Newbridge-on-Wye",Powys
1,LD2,BUILTH WELLS,"Builth Wells, Llanafan Fawr, Erwood",Powys
2,LD3,BRECON,"Brecon, Talgarth",Powys
3,LD4,LLANGAMMARCH WELLS,"Llangammarch Wells, Garth, Cefn Gorwydd",Powys
4,LD5,LLANWRTYD WELLS,"Llanwrtyd Wells, Beulah, Abergwesyn",Powys
5,LD6,RHAYADER,"Rhayader, St Harmon, Pant-Y-Dwr",Powys
6,LD7,KNIGHTON,"Knighton, Knucklas, Llangunllo, Llanfair Waterdine","Powys, Shropshire"
7,LD8,PRESTEIGNE,"Presteigne, New Radnor, Norton, Stapleton","Powys, Herefordshire"
