,Postcode district,Post town,Coverage,Local authority area
0,HS1,STORNOWAY,"Stornoway (immediate area), Plasterfield",Comhairle nan Eilean Siar
1,HS2,ISLE OF LEWIS,"Settlements in Lewis outside the Stornoway area includingBack, Carloway, Ness, North Lochs, Park (South Lochs), Point, Uig and West Side",Comhairle nan Eilean Siar
2,HS3,ISLE OF HARRIS,Harris excluding Leverburgh and Rodel area,Comhairle nan Eilean Siar
3,HS4,ISLE OF SCALPAY,All settlements,Comhairle nan Eilean Siar
4,HS5,ISLE OF HARRIS,"Leverburgh, Rodel",Comhairle nan Eilean Siar
5,HS6,ISLE OF NORTH UIST,All settlements,Comhairle nan Eilean Siar
6,HS7,ISLE OF BENBECULA,All settlements,Comhairle nan Eilean Siar
7,HS8,ISLE OF SOUTH UIST,All settlements,Comhairle nan Eilean Siar
8,HS9,ISLE OF BARRA,"All settlements, including Mingulay",Comhairle nan Eilean Siar
