,Postcode district,Post town,Coverage,Local authority area
0,FY0,BLACKPOOL,,non-geographic
1,FY1,BLACKPOOL,"Blackpool Town Centre, North Shore, South Shore",Blackpool
2,FY2,BLACKPOOL,Bispham,Blackpool
3,FY3,BLACKPOOL,"Grange Park, Layton, Marton, Staining, Stanley Park","Blackpool, Fylde, Wyre"
4,FY4,BLACKPOOL,"Marton, South Shore, Squires Gate, Starr Gate","Blackpool, Fylde"
5,FY5,THORNTON-CLEVELEYS,"Anchorsholme, Little Bispham, Thornton-Cleveleys","Wyre, Blackpool"
6,FY6,POULTON-LE-FYLDE,"Carleton, Poulton-le-Fylde, Hambleton, Knott End-on-Sea, Preesall, Singleton, Stalmine","Wyre, Fylde, Blackpool"
7,FY7,FLEETWOOD,"Fleetwood, Rossall",Wyre
8,FY8,LYTHAM ST. ANNES,"Lytham St. Annes, Moss Side",Fylde
