,Postcode district,Post town,Coverage,Local authority area
0,HR1,HEREFORD,City centre,Herefordshire Council
1,HR2,HEREFORD,South of centre,"Herefordshire Council, Powys"
2,HR3,HEREFORD,West of centre; Hay on Wye,"Herefordshire Council, Powys"
3,HR4,HEREFORD,North of centre,Herefordshire Council
4,HR5,KINGTON,,"Herefordshire Council, Powys"
5,HR6,LEOMINSTER,,Herefordshire Council
6,HR7,BROMYARD,,Herefordshire Council
7,HR8,LEDBURY,"Ledbury, Bosbury",Herefordshire Council
8,HR9,ROSS-ON-WYE,,Herefordshire Council
