,Postcode district,Post town,Coverage,Local authority area
0,BR1,BROMLEY,"Bromley, Bickley, Downham, Sundridge","Bromley, Lewisham"
1,BR2,BROMLEY,"Hayes, Shortlands, Bickley, Bromley Common",Bromley
2,BR2,KESTON,"Keston, Leaves Green",Bromley
3,BR3,BECKENHAM,"Beckenham, Elmers End, Shortlands, Eden Park, Park Langley","Bromley, Lewisham, Croydon"
4,BR4,WEST WICKHAM,West Wickham,Bromley
5,BR5,ORPINGTON,"Petts Wood, St Mary Cray, St Paul's Cray, Ruxley",Bromley
6,BR6,ORPINGTON,"Orpington, Locksbottom, Farnborough, Green Street Green, Chelsfield, Downe, Pratt's Bottom, Well Hill","Bromley, Sevenoaks"
7,BR7,CHISLEHURST,"Chislehurst, Elmstead","Bromley, Greenwich"
8,BR8,SWANLEY,"Swanley, Hextable, Crockenhill, Swanley Village, Hockenden","Sevenoaks, Bromley, Dartford"
